iteration no.; 0; x coordinate; y coordinate; 
Particle no.; 0;  4.19936; 1.24158;
Particle no.; 1;  5.66574; 1.91745;
Particle no.; 2;  2.56005; 4.14215;
Particle no.; 3;  5.40203; 0.209727;
Particle no.; 4;  4.11264; 2.2904;
Particle no.; 5;  5.5969; 2.51385;
Particle no.; 6;  1.7272; 6.12587;
Particle no.; 7;  4.14274; 0.32056;
Particle no.; 8;  1.73673; 0.509006;
Particle no.; 9;  2.44546; 1.89201;
Particle no.; 10;  6.23403; 2.65376;
Particle no.; 11;  3.24501; 2.73544;
Particle no.; 12;  5.14529; 0.779956;
Particle no.; 13;  3.37636; 1.56524;
Particle no.; 14;  2.14946; 3.17959;
Particle no.; 15;  3.83666; 4.91912;
Particle no.; 16;  5.65224; 2.56248;
Particle no.; 17;  4.72858; 2.88201;
Particle no.; 18;  5.63675; 5.34758;
Particle no.; 19;  2.48548; 3.9999;
Particle no.; 20;  5.1552; 3.56474;
Particle no.; 21;  5.42227; 1.03418;
Particle no.; 22;  4.20446; 1.70376;
Particle no.; 23;  6.88686; 3.53444;
Particle no.; 24;  6.33147; 1.74759;
Particle no.; 25;  4.73059; 3.09582;
Particle no.; 26;  2.66432; 1.71595;
Particle no.; 27;  6.13882; 4.5326;
Particle no.; 28;  2.13246; 5.46877;
Particle no.; 29;  6.84542; 3.03659;
Particle no.; 30;  5.00433; 3.95367;
Particle no.; 31;  1.76079; 1.66357;
Particle no.; 32;  3.50487; 2.13752;
Particle no.; 33;  5.47769; 3.87841;
Particle no.; 34;  5.87654; 1.23043;
Particle no.; 35;  5.86402; 0.866176;
Particle no.; 36;  6.67741; 6.2575;
Particle no.; 37;  3.56677; 6.4075;
Particle no.; 38;  4.51102; 0.869762;
Particle no.; 39;  2.57348; 1.85345;
Particle no.; 40;  4.16557; 2.02459;
Particle no.; 41;  6.16111; 2.46598;
Particle no.; 42;  3.7974; 6.11445;
Particle no.; 43;  1.22686; 4.8462;
Particle no.; 44;  5.0348; 2.98779;
Particle no.; 45;  3.54513; 3.27882;
Particle no.; 46;  4.38313; 6.30027;
Particle no.; 47;  2.47422; 3.18566;
Particle no.; 48;  5.3348; 2.84816;
Particle no.; 49;  5.41513; 3.1381;
iteration no.; 3; x coordinate; y coordinate; 
Particle no.; 0;  4.63343; 1.50633;
Particle no.; 1;  5.71377; 1.97677;
Particle no.; 2;  2.88392; 4.05038;
Particle no.; 3;  5.45908; 0.516149;
Particle no.; 4;  3.83312; 2.24374;
Particle no.; 5;  5.65028; 2.51725;
Particle no.; 6;  2.65193; 5.34452;
Particle no.; 7;  4.48988; 0.683543;
Particle no.; 8;  2.63018; 0.974244;
Particle no.; 9;  3.23438; 2.04432;
Particle no.; 10;  6.23192; 2.65495;
Particle no.; 11;  3.4649; 2.73543;
Particle no.; 12;  5.22637; 0.914632;
Particle no.; 13;  3.96385; 1.78692;
Particle no.; 14;  2.44957; 3.14408;
Particle no.; 15;  4.02007; 4.75485;
Particle no.; 16;  5.69846; 2.55982;
Particle no.; 17;  4.8429; 2.86434;
Particle no.; 18;  5.67713; 5.14407;
Particle no.; 19;  2.72097; 3.97786;
Particle no.; 20;  5.23491; 3.49034;
Particle no.; 21;  5.48818; 1.15836;
Particle no.; 22;  3.92602; 1.64232;
Particle no.; 23;  6.84459; 3.47386;
Particle no.; 24;  6.33298; 1.81262;
Particle no.; 25;  4.83481; 3.06102;
Particle no.; 26;  3.38441; 1.90057;
Particle no.; 27;  6.14794; 4.39566;
Particle no.; 28;  2.53196; 5.33227;
Particle no.; 29;  6.81093; 3.00796;
Particle no.; 30;  5.0977; 3.86059;
Particle no.; 31;  2.08861; 1.72582;
Particle no.; 32;  3.15368; 2.12338;
Particle no.; 33;  5.53579; 3.78007;
