iteration no.; 0; x coordinate; y coordinate; 
Particle no.; 0;  7; 5.19959;
Particle no.; 1;  3.84319; 4.00119;
Particle no.; 2;  3.50302; 1.90897;
Particle no.; 3;  7; 7;
Particle no.; 4;  1.84493; 1.28197;
Particle no.; 5;  3.38978; 4.36684;
Particle no.; 6;  2.00019; 4.65802;
Particle no.; 7;  7; 5.0611;
Particle no.; 8;  6.1949; 3.87835;
Particle no.; 9;  3.56907; 5.21691;
Particle no.; 10;  3.06591; 2.21892;
Particle no.; 11;  1.54719; 4.40759;
Particle no.; 12;  3.15373; 6.86631;
Particle no.; 13;  5.80409; 2.53824;
Particle no.; 14;  2.12845; 3.46667;
Particle no.; 15;  6.01587; 1.90567;
Particle no.; 16;  7; 1.96048;
Particle no.; 17;  5.00828; 3.37211;
Particle no.; 18;  2.97086; 4.14309;
Particle no.; 19;  2.59566; 3.91721;
Particle no.; 20;  4.52648; 5.08685;
Particle no.; 21;  7; 5.62809;
Particle no.; 22;  1.84629; 7;
Particle no.; 23;  2.7906; 7;
Particle no.; 24;  3.09235; 5.46109;
Particle no.; 25;  4.46095; 5.25967;
Particle no.; 26;  6.78142; 5.10956;
Particle no.; 27;  1.76868; 2.03657;
Particle no.; 28;  4.07728; 6.67419;
Particle no.; 29;  3.67622; 5.30714;
Particle no.; 30;  2.24227; 1.79351;
Particle no.; 31;  6.31423; 2.11137;
Particle no.; 32;  2.8554; 3.42392;
Particle no.; 33;  4.5849; 4.92768;
Particle no.; 34;  6.66843; 6.28198;
Particle no.; 35;  0.946306; 3.29632;
Particle no.; 36;  3.47025; 7;
Particle no.; 37;  1.02583; 4.41796;
Particle no.; 38;  6.64719; 2.91785;
Particle no.; 39;  3.66199; 1.84095;
Particle no.; 40;  7; 7;
Particle no.; 41;  6.20204; 6.36319;
Particle no.; 42;  4.43532; 7;
Particle no.; 43;  7; 7;
Particle no.; 44;  5.84774; 3.27882;
Particle no.; 45;  5.02258; 7;
Particle no.; 46;  4.17374; 3.43823;
Particle no.; 47;  1.40421; 6.13056;
Particle no.; 48;  5.96357; 5.09052;
Particle no.; 49;  3.15966; 4.73341;
iteration no.; 10; x coordinate; y coordinate; 
Particle no.; 0;  7; 2.02573;
Particle no.; 1;  2.69339; 2.85138;
Particle no.; 2;  7; 3.4114;
Particle no.; 3;  4.72052; 4.92744;
Particle no.; 4;  1.16218; 0.0463265;
Particle no.; 5;  2.11016; 3.08722;
Particle no.; 6;  0.950071; 3.6079;
Particle no.; 7;  7; 2.65806;
Particle no.; 8;  5.20631; 2.88975;
Particle no.; 9;  2.7215; 4.36935;
Particle no.; 10;  2.48021; 1.52311;
Particle no.; 11;  1.80333; 4.66372;
Particle no.; 12;  1.83353; 5.55784;
Particle no.; 13;  5.28573; 2.01988;
Particle no.; 14;  0.952631; 2.29085;
Particle no.; 15;  6.69171; 3.39796;
Particle no.; 16;  7; 2.08298;
Particle no.; 17;  4.59743; 2.96127;
Particle no.; 18;  2.10691; 3.27913;
Particle no.; 19;  2.82235; 4.14389;
Particle no.; 20;  5.27673; 5.8371;
Particle no.; 21;  6.35843; 2.24672;
Particle no.; 22;  1.41085; 7;
Particle no.; 23;  1.45234; 6.00748;
Particle no.; 24;  0.738674; 3.10742;
Particle no.; 25;  2.12738; 2.92611;
Particle no.; 26;  5.62139; 3.94952;
Particle no.; 27;  0.852879; 1.36028;
Particle no.; 28;  1.42996; 4.02687;
Particle no.; 29;  2.81886; 4.44978;
Particle no.; 30;  1.57583; 1.12706;
Particle no.; 31;  6.92648; 2.15298;
Particle no.; 32;  1.53604; 2.10456;
Particle no.; 33;  1.82556; 2.16834;
Particle no.; 34;  4.35247; 3.93054;
Particle no.; 35;  0; 2.62646;
Particle no.; 36;  1.43369; 6.01845;
Particle no.; 37;  1.65099; 5.04312;
Particle no.; 38;  6.60609; 1.90819;
Particle no.; 39;  2.13638; 0.315342;
Particle no.; 40;  5.96829; 5.0276;
Particle no.; 41;  5.03519; 5.19634;
Particle no.; 42;  1.55475; 4.36628;
Particle no.; 43;  6.99045; 6.93984;
Particle no.; 44;  4.53226; 1.96333;
Particle no.; 45;  2.25837; 5.68269;
Particle no.; 46;  1.55831; 0.822795;
Particle no.; 47;  0.387842; 5.11419;
Particle no.; 48;  4.83288; 3.95983;
Particle no.; 49;  2.33421; 3.90796;
iteration no.; 20; x coordinate; y coordinate; 
Particle no.; 0;  7; 2.65295;
Particle no.; 1;  3.23619; 3.39418;
Particle no.; 2;  6.56534; 4.71738;
Particle no.; 3;  5.49975; 5.64807;
Particle no.; 4;  1.2917; 0.540907;
Particle no.; 5;  2.52174; 3.49881;
Particle no.; 6;  3.13047; 5.99651;
Particle no.; 7;  7; 2.69705;
Particle no.; 8;  5.66534; 3.27574;
Particle no.; 9;  2.1017; 3.74955;
Particle no.; 10;  3.52366; 2.30822;
Particle no.; 11;  2.20814; 5.06854;
Particle no.; 12;  2.84225; 6.55512;
Particle no.; 13;  5.08578; 1.81993;
Particle no.; 14;  1.18513; 2.52335;
Particle no.; 15;  6.70383; 5.50624;
Particle no.; 16;  7; 2.26072;
Particle no.; 17;  3.30769; 1.67153;
Particle no.; 18;  4.1349; 5.30712;
Particle no.; 19;  2.88317; 4.20472;
Particle no.; 20;  4.81122; 5.3716;
Particle no.; 21;  6.49762; 2.9003;
Particle no.; 22;  1.08394; 7;
Particle no.; 23;  2.36525; 6.55498;
Particle no.; 24;  2.08455; 4.45329;
Particle no.; 25;  5.82115; 6.61988;
Particle no.; 26;  6.28963; 4.61777;
Particle no.; 27;  1.26574; 1.37804;
Particle no.; 28;  4.68659; 7;
Particle no.; 29;  2.39555; 4.02647;
Particle no.; 30;  0.271693; 0.389024;
Particle no.; 31;  6.48479; 2.61944;
Particle no.; 32;  2.21448; 2.783;
Particle no.; 33;  5.49244; 6.28788;
Particle no.; 34;  6.95894; 6.71114;
Particle no.; 35;  0.0498962; 2.36377;
Particle no.; 36;  2.02446; 6.49527;
Particle no.; 37;  2.76079; 6.15292;
Particle no.; 38;  6.74389; 2.44389;
Particle no.; 39;  4.28677; 2.46574;
Particle no.; 40;  6.19424; 5.87204;
Particle no.; 41;  5.17086; 5.33201;
Particle no.; 42;  2.45279; 5.21093;
Particle no.; 43;  6.54993; 6.79468;
Particle no.; 44;  5.17422; 2.6053;
Particle no.; 45;  3.1862; 6.13386;
Particle no.; 46;  6.2906; 5.03153;
Particle no.; 47;  1.94905; 6.97609;
Particle no.; 48;  5.28009; 4.40705;
Particle no.; 49;  2.42214; 3.99589;
iteration no.; 30; x coordinate; y coordinate; 
Particle no.; 0;  7; 4.1139;
Particle no.; 1;  3.25032; 3.40832;
Particle no.; 2;  5.81317; 0.936657;
Particle no.; 3;  6.16235; 6.24935;
Particle no.; 4;  0.390773; 0.147819;
Particle no.; 5;  2.62302; 3.60008;
Particle no.; 6;  3.14644; 5.01132;
Particle no.; 7;  7; 3.31281;
Particle no.; 8;  7; 6.4338;
Particle no.; 9;  3.12413; 4.77198;
Particle no.; 10;  3.38491; 2.22611;
Particle no.; 11;  1.44089; 4.30129;
Particle no.; 12;  2.64925; 6.36171;
Particle no.; 13;  5.54836; 2.2825;
Particle no.; 14;  1.17806; 2.51628;
Particle no.; 15;  6.76562; 4.04923;
Particle no.; 16;  7; 2.04046;
Particle no.; 17;  0.862731; 0;
Particle no.; 18;  2.62183; 3.79405;
Particle no.; 19;  2.51147; 3.83301;
Particle no.; 20;  1.54388; 2.61113;
Particle no.; 21;  6.38622; 2.37723;
Particle no.; 22;  2.32843; 7;
Particle no.; 23;  1.85653; 6.17103;
Particle no.; 24;  2.28192; 4.65066;
Particle no.; 25;  3.84019; 4.63892;
Particle no.; 26;  6.16471; 4.49285;
Particle no.; 27;  0.992078; 1.36948;
Particle no.; 28;  6.72277; 7;
Particle no.; 29;  2.59645; 4.22737;
Particle no.; 30;  0.321814; 0.203593;
Particle no.; 31;  5.9134; 1.73276;
Particle no.; 32;  1.78075; 2.34927;
Particle no.; 33;  0; 0;
Particle no.; 34;  5.82163; 5.67853;
Particle no.; 35;  0.0470608; 2.35867;
Particle no.; 36;  1.57669; 6.13387;
Particle no.; 37;  2.24386; 5.63599;
Particle no.; 38;  6.58643; 3.15007;
Particle no.; 39;  4.15298; 2.33195;
Particle no.; 40;  6.63376; 6.46074;
Particle no.; 41;  5.25819; 5.41934;
Particle no.; 42;  2.09342; 4.87293;
Particle no.; 43;  6.52193; 6.70874;
Particle no.; 44;  5.06558; 2.49666;
Particle no.; 45;  0.788644; 4.96802;
Particle no.; 46;  2.04849; 1.63359;
Particle no.; 47;  1.63624; 6.33766;
Particle no.; 48;  5.02186; 4.14882;
Particle no.; 49;  2.84984; 4.4236;
iteration no.; 40; x coordinate; y coordinate; 
Particle no.; 0;  7; 3.94816;
Particle no.; 1;  2.81358; 2.97157;
Particle no.; 2;  6.1884; 2.44538;
Particle no.; 3;  6.15211; 6.23789;
Particle no.; 4;  0.771294; 0.322904;
Particle no.; 5;  2.07861; 3.05568;
Particle no.; 6;  0.539555; 2.43394;
